Period Name,Ward Description,Product Description,Quantity
 20-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,10.00
 28-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,20.00
 03-Jan-2014,Acute Medical Unit,Piperacillin 4g Tazobactam 500mg  Vial,0.00
 10-Jan-2014,Acute Medical Unit,Roxithromycin 150mg Tablet,10.00
 14-Jan-2014,Acute Medical Unit,Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,-7.00
 31-Jan-2014,Acute Medical Unit,Trimethoprim 300mg Tablet,14.00
 31-Jan-2014,Acute Medical Unit,Vancomycin 500mg Vial,10.00
 03-Jan-2014,Benson Medical Ward,Miconazole 2% (20mg/mL) Tincture,1.00
 27-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,15.00
 22-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,7.00
 27-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,15.00
 24-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,15.00
 13-Jan-2014,Benson Medical Ward,Tobramycin (Preservative Free) 80mg/2mL Ampoule,10.00
 09-Jan-2014,Benson Medical Ward,Moxifloxacin 400mg Tablet,5.00
 17-Jan-2014,Benson Medical Ward,Amoxycillin 500mg Clavulanic Acid 125mg  Tablet,10.00
 06-Jan-2014,Benson Medical Ward,Aciclovir 200mg Tablet,30.00
 08-Jan-2014,Benson Medical Ward,Valaciclovir 500mg Tablet,5.00
 15-Jan-2014,Benson Medical Ward,Valaciclovir 500mg Tablet,23.00
 28-Jan-2014,Benson Medical Ward,Nitrofurantoin 100mg Capsule,9.00
 21-Jan-2014,Benson Medical Ward,Fluconazole 200mg Capsule,7.00
 28-Jan-2014,Benson Medical Ward,Fluconazole 200mg Capsule,4.00
 29-Jan-2014,Benson Medical Ward,Dicloxacillin 250mg Capsule,4.00
 30-Jan-2014,Benson Medical Ward,Miconazole 2% (20mg/g) Cream,1.00
 28-Jan-2014,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream,1.00
 03-Jan-2014,Benson Medical Ward,Terbinafine 1% (10mg/g) Cream,1.00
 15-Jan-2014,Benson Medical Ward,Amoxycillin 1g Vial,0.00
 22-Jan-2014,Benson Medical Ward,Amoxycillin 1g Vial,60.00
 29-Jan-2014,Benson Medical Ward,Amoxycillin 1g Vial,10.00
 08-Jan-2014,Benson Medical Ward,Amoxycillin 1g Vial,60.00
 15-Jan-2014,Benson Medical Ward,Amoxycillin 1g Vial,50.00
 08-Jan-2014,Benson Medical Ward,Amoxycillin 500mg Capsule,40.00
 08-Jan-2014,Benson Medical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,20.00
 15-Jan-2014,Benson Medical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,20.00
 22-Jan-2014,Benson Medical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,60.00
 08-Jan-2014,Benson Medical Ward,Azithromycin 500mg Vial,4.00
 15-Jan-2014,Benson Medical Ward,Azithromycin 500mg Vial,5.00
 22-Jan-2014,Benson Medical Ward,Azithromycin 500mg Vial,5.00
 29-Jan-2014,Benson Medical Ward,Azithromycin 500mg Vial,5.00
 08-Jan-2014,Benson Medical Ward,Azithromycin 500mg Tablet,6.00
 22-Jan-2014,Benson Medical Ward,Azithromycin 500mg Tablet,3.00
 29-Jan-2014,Benson Medical Ward,Azithromycin 500mg Tablet,6.00
 08-Jan-2014,Benson Medical Ward,Benzylpenicillin 1.2g Vial,10.00
 15-Jan-2014,Benson Medical Ward,Benzylpenicillin 1.2g Vial,20.00
 22-Jan-2014,Benson Medical Ward,Benzylpenicillin 1.2g Vial,10.00
 29-Jan-2014,Benson Medical Ward,Benzylpenicillin 1.2g Vial,10.00
 22-Jan-2014,Benson Medical Ward,Benzylpenicillin 600mg Vial,5.00
 29-Jan-2014,Benson Medical Ward,Benzylpenicillin 600mg Vial,5.00
 08-Jan-2014,Benson Medical Ward,Ceftriaxone 1g Vial,25.00
 15-Jan-2014,Benson Medical Ward,Ceftriaxone 1g Vial,10.00
 22-Jan-2014,Benson Medical Ward,Ceftriaxone 1g Vial,50.00
 29-Jan-2014,Benson Medical Ward,Ceftriaxone 1g Vial,5.00
 13-Jan-2014,Benson Medical Ward,Cefuroxime 250mg Tablet,14.00
 08-Jan-2014,Benson Medical Ward,Cephalexin 500mg Capsule,40.00
 29-Jan-2014,Benson Medical Ward,Cephalexin 500mg Capsule,20.00
 08-Jan-2014,Benson Medical Ward,Cephalexin 250mg Capsule,40.00
 08-Jan-2014,Benson Medical Ward,Cephazolin 1g Vial,20.00
 15-Jan-2014,Benson Medical Ward,Cephazolin 1g Vial,40.00
 22-Jan-2014,Benson Medical Ward,Cephazolin 1g Vial,20.00
 29-Jan-2014,Benson Medical Ward,Cephazolin 1g Vial,30.00
 08-Jan-2014,Benson Medical Ward,Clindamycin 150mg Capsule,48.00
 29-Jan-2014,Benson Medical Ward,Clindamycin 150mg Capsule,48.00
 08-Jan-2014,Benson Medical Ward,Doxycycline 100mg Tablet,21.00
 20-Jan-2014,Benson Medical Ward,Doxycycline 100mg Tablet,35.00
 29-Jan-2014,Benson Medical Ward,Doxycycline 100mg Tablet,21.00
 02-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,90.00
 08-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,60.00
 14-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,10.00
 15-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,60.00
 22-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,10.00
 27-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,60.00
 29-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,15.00
 02-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 14-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 15-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 22-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 27-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 29-Jan-2014,Benson Medical Ward,Flucloxacillin 1g Vial,0.00
 22-Jan-2014,Benson Medical Ward,Flucloxacillin 500mg Vial,5.00
 27-Jan-2014,Benson Medical Ward,Flucloxacillin 500mg Vial,10.00
 22-Jan-2014,Benson Medical Ward,Flucloxacillin 500mg Capsule,24.00
 29-Jan-2014,Benson Medical Ward,Flucloxacillin 500mg Capsule,24.00
 08-Jan-2014,Benson Medical Ward,Gentamicin 80mg/2mL Ampoule,30.00
 15-Jan-2014,Benson Medical Ward,Gentamicin 80mg/2mL Ampoule,10.00
 08-Jan-2014,Benson Medical Ward,Hydroxychloroquine 200mg Tablet,100.00
 27-Jan-2014,Benson Medical Ward,Lincomycin 600mg/2mL Vial,15.00
 20-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,5.00
 27-Jan-2014,Benson Medical Ward,Meropenem 1g Vial,5.00
 08-Jan-2014,Benson Medical Ward,Metronidazole 500mg/100mL Infusion,10.00
 15-Jan-2014,Benson Medical Ward,Metronidazole 500mg/100mL Infusion,20.00
 22-Jan-2014,Benson Medical Ward,Metronidazole 500mg/100mL Infusion,10.00
 29-Jan-2014,Benson Medical Ward,Metronidazole 200mg Tablet,21.00
 08-Jan-2014,Benson Medical Ward,Metronidazole 400mg Tablet,21.00
 08-Jan-2014,Benson Medical Ward,Norfloxacin 400mg Tablet,14.00
 15-Jan-2014,Benson Medical Ward,Norfloxacin 400mg Tablet,14.00
 15-Jan-2014,Benson Medical Ward,"Nystatin 100,000unit/mL Suspension 24mL",1.00
 22-Jan-2014,Benson Medical Ward,"Nystatin 100,000unit/mL Suspension 24mL",1.00
 29-Jan-2014,Benson Medical Ward,"Nystatin 100,000unit/mL Suspension 24mL",3.00
 08-Jan-2014,Benson Medical Ward,"Nystatin 100,000unit/mL Suspension 24mL",2.00
 08-Jan-2014,Benson Medical Ward,Piperacillin 4g Tazobactam 500mg  Vial,50.00
 22-Jan-2014,Benson Medical Ward,Piperacillin 4g Tazobactam 500mg  Vial,50.00
 22-Jan-2014,Benson Medical Ward,Trimethoprim 300mg Tablet,21.00
 13-Jan-2014,Benson Medical Ward,Valaciclovir 500mg Tablet,11.00
 08-Jan-2014,Benson Medical Ward,Vancomycin 500mg Vial,10.00
 13-Jan-2014,Colyer Surgical Ward,Doxycycline 100mg Tablet,7.00
 22-Jan-2014,Colyer Surgical Ward,Nitrofurantoin 50mg Capsule,5.00
 28-Jan-2014,Colyer Surgical Ward,Amoxycillin 1g Vial,10.00
 13-Jan-2014,Colyer Surgical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 20-Jan-2014,Colyer Surgical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 28-Jan-2014,Colyer Surgical Ward,Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 20-Jan-2014,Colyer Surgical Ward,Cephalexin 500mg Capsule,20.00
 28-Jan-2014,Colyer Surgical Ward,Cephalexin 250mg Capsule,20.00
 13-Jan-2014,Colyer Surgical Ward,Cephazolin 1g Vial,60.00
 20-Jan-2014,Colyer Surgical Ward,Cephazolin 1g Vial,20.00
 13-Jan-2014,Colyer Surgical Ward,Ciprofloxacin 500mg Tablet,14.00
 13-Jan-2014,Colyer Surgical Ward,Clindamycin 150mg Capsule,24.00
 13-Jan-2014,Colyer Surgical Ward,Metronidazole 500mg/100mL Infusion,30.00
 20-Jan-2014,Colyer Surgical Ward,Metronidazole 500mg/100mL Infusion,40.00
 28-Jan-2014,Colyer Surgical Ward,Metronidazole 500mg/100mL Infusion,10.00
 13-Jan-2014,Colyer Surgical Ward,Metronidazole 400mg Tablet,0.00
 13-Jan-2014,Colyer Surgical Ward,Metronidazole 400mg Tablet,21.00
 20-Jan-2014,Colyer Surgical Ward,Norfloxacin 400mg Tablet,14.00
 13-Jan-2014,Colyer Surgical Ward,Piperacillin 4g Tazobactam 500mg  Vial,30.00
 17-Jan-2014,Colyer Surgical Ward,Piperacillin 4g Tazobactam 500mg  Vial,40.00
 20-Jan-2014,Colyer Surgical Ward,Piperacillin 4g Tazobactam 500mg  Vial,10.00
 24-Jan-2014,Colyer Surgical Ward,Piperacillin 4g Tazobactam 500mg  Vial,40.00
 28-Jan-2014,Colyer Surgical Ward,Piperacillin 4g Tazobactam 500mg  Vial,20.00
 06-Jan-2014,Colyer Surgical Ward,Ticarcillin 3g Clavulanic Acid 100mg  Vial,0.00
 28-Jan-2014,Colyer Surgical Ward,Ticarcillin 3g Clavulanic Acid 100mg  Vial,0.00
 20-Jan-2014,Colyer Surgical Ward,Trimethoprim 300mg Tablet,7.00
 28-Jan-2014,Colyer Surgical Ward,Trimethoprim 300mg Tablet,7.00
 10-Jan-2014,Galliers Bickley Ward (Maternity),Amoxycillin 500mg Clavulanic Acid 125mg  Tablet,10.00
 03-Jan-2014,Galliers Bickley Ward (Maternity),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 10-Jan-2014,Galliers Bickley Ward (Maternity),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 17-Jan-2014,Galliers Bickley Ward (Maternity),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 31-Jan-2014,Galliers Bickley Ward (Maternity),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,10.00
 23-Jan-2014,Galliers Bickley Ward (Maternity),Cephalexin 500mg Capsule,40.00
 31-Jan-2014,Galliers Bickley Ward (Maternity),Cephalexin 500mg Capsule,20.00
 03-Jan-2014,Galliers Bickley Ward (Maternity),Cephazolin 1g Vial,20.00
 23-Jan-2014,Galliers Bickley Ward (Maternity),Cephazolin 1g Vial,10.00
 31-Jan-2014,Galliers Bickley Ward (Maternity),Clotrimazole 1% (10mg/g) Vaginal Cream,1.00
 03-Jan-2014,Galliers Bickley Ward (Maternity),Metronidazole 500mg/100mL Infusion,10.00
 31-Jan-2014,Galliers Bickley Ward (Maternity),Metronidazole 500mg/100mL Infusion,10.00
 10-Jan-2014,Galliers Bickley Ward (Maternity),Metronidazole 200mg Tablet,42.00
 31-Jan-2014,Galliers Bickley Ward (Maternity),Metronidazole 200mg Tablet,84.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Cefepime 2g Vial,4.00
 14-Jan-2014,Galliers Canning Ward (Med/205SURG),Cefepime 2g Vial,4.00
 07-Jan-2014,Galliers Canning Ward (Med/205SURG),Ertapenem 1g Vial,3.00
 21-Jan-2014,Galliers Canning Ward (Med/205SURG),Lincomycin 600mg/2mL Vial,15.00
 22-Jan-2014,Galliers Canning Ward (Med/205SURG),Meropenem 1g Vial,15.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Meropenem 1g Vial,15.00
 07-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
 17-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
 22-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
 29-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
 03-Jan-2014,Galliers Canning Ward (Med/205SURG),Terbinafine 250mg Tablet,7.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Amphotericin B 10mg Lozenge,20.00
 03-Jan-2014,Galliers Canning Ward (Med/205SURG),Amphotericin B 10mg Lozenge,20.00
 07-Jan-2014,Galliers Canning Ward (Med/205SURG),"Nystatin 100,000unit/mL Suspension",24.00
 13-Jan-2014,Galliers Canning Ward (Med/205SURG),Fluconazole 100mg Capsule,1.00
 13-Jan-2014,Galliers Canning Ward (Med/205SURG),Fluconazole 50mg Capsule,5.00
 10-Jan-2014,Galliers Canning Ward (Med/205SURG),Chloramphenicol 1% (10mg/g) Eye Ointment,1.00
 06-Jan-2014,Galliers Canning Ward (Med/205SURG),Aciclovir 3% (30mg/g) Eye Ointment,1.00
 20-Jan-2014,Galliers Canning Ward (Med/205SURG),Meropenem 500mg Vial,15.00
 06-Jan-2014,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream,1.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial,0.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial,0.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial,50.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Vial,0.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial,70.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial,10.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Capsule,60.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Capsule,40.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Capsule,40.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Clavulanic Acid 125mg  Tablet,10.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 500mg Clavulanic Acid 125mg  Tablet,20.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,30.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,40.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,30.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Amoxycillin 875mg Clavulanic Acid 125mg  Tablet,60.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Vial,10.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Vial,10.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Vial,2.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Vial,5.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Tablet,3.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Tablet,3.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Azithromycin 500mg Tablet,3.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Benzylpenicillin 1.2g Vial,30.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Benzylpenicillin 1.2g Vial,10.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Benzylpenicillin 1.2g Vial,10.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Ceftriaxone 1g Vial,15.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Ceftriaxone 1g Vial,30.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Ceftriaxone 1g Vial,20.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Ceftriaxone 1g Vial,15.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Ceftriaxone 1g Vial,25.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephalexin 500mg Capsule,20.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephalexin 500mg Capsule,60.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephalexin 500mg Capsule,20.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephalexin 500mg Capsule,60.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephazolin 1g Vial,40.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephazolin 1g Vial,40.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephazolin 1g Vial,10.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Cephazolin 1g Vial,40.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Chloramphenicol 0.5% (5mg/mL) Eye Drop,1.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Chloramphenicol 1% (10mg/g) Eye Ointment,2.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Chloramphenicol 1% (10mg/g) Eye Ointment,1.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Clindamycin 150mg Capsule,24.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Clindamycin 150mg Capsule,24.00
 30-Jan-2014,Galliers Canning Ward (Med/205SURG),Clindamycin 150mg Capsule,48.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Clotrimazole 1% (10mg/g) Cream,3.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Clotrimazole 1% (10mg/g) Cream,1.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Clotrimazole 1% (10mg/g) Cream,1.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Doxycycline 100mg Tablet,35.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Doxycycline 100mg Tablet,35.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Doxycycline 100mg Tablet,14.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Flucloxacillin 1g Vial,125.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Flucloxacillin 1g Vial,75.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Flucloxacillin 1g Vial,0.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Flucloxacillin 500mg Capsule,24.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Flucloxacillin 500mg Capsule,24.00
 20-Jan-2014,Galliers Canning Ward (Med/205SURG),Fluconazole 150mg Capsule,1.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Gentamicin 80mg/2mL Ampoule,10.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Gentamicin 80mg/2mL Ampoule,5.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Gentamicin 80mg/2mL Ampoule,10.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Gentamicin 80mg/2mL Ampoule,10.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Hydroxychloroquine 200mg Tablet,114.00
 28-Jan-2014,Galliers Canning Ward (Med/205SURG),Itraconazole 100mg Capsule,20.00
 13-Jan-2014,Galliers Canning Ward (Med/205SURG),Meropenem 1g Vial,5.00
 20-Jan-2014,Galliers Canning Ward (Med/205SURG),Meropenem 1g Vial,5.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 500mg/100mL Infusion,20.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 500mg/100mL Infusion,10.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 500mg/100mL Infusion,10.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 400mg Tablet,0.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 400mg Tablet,42.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),Metronidazole 400mg Tablet,42.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),"Nystatin 100,000unit/mL Suspension 24mL",2.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),"Nystatin 100,000unit/mL Suspension 24mL",2.00
 23-Jan-2014,Galliers Canning Ward (Med/205SURG),"Nystatin 100,000unit/mL Suspension 24mL",1.00
 09-Jan-2014,Galliers Canning Ward (Med/205SURG),"Nystatin 100,000unit/mL Suspension 24mL",2.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Piperacillin 4g Tazobactam 500mg  Vial,60.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Piperacillin 4g Tazobactam 500mg  Vial,0.00
 16-Jan-2014,Galliers Canning Ward (Med/205SURG),Roxithromycin 150mg Tablet,10.00
 27-Jan-2014,Galliers Canning Ward (Med/205SURG),Sodium Fusidate 250mg Tablet,27.00
 02-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
 13-Jan-2014,Galliers Canning Ward (Med/205SURG),Sulfamethoxazole 800mg Trimethoprim 160mg  Tablet,10.00
